# word	clue	clue_type	freq
# Derived from dwyl/english-words (Unlicense) and Webster's
# 1913 via matthewreagan/WebstersEnglishDictionary (public
# domain). Regenerate with scripts/build_bank.py.
DORY	A European fish	proper	3
DOSE	The quantity of medicine given, or prescribed to be taken, at one time	definition	14
DOSS	A place to sleep in	definition	1
DOVE	A pigeon of the genus Columba and various related genera	proper	48
DRAB	A low, sluttish woman	definition	10
DRAY	A squirrel's nest	definition	5
DRIP	To fall in drops	definition	12
DROP	The quantity of fluid which falls in one small spherical mass	definition	107
DRUB	To beat with a stick	definition	6
DUAL	Expressing, or consisting of, the number two	definition	5
DUET	A composition for two performers, whether vocal or instrumental	definition	5
DULL	Slow of understanding	definition	261
DULY	In a due, fit, or becoming manner	definition	26
DUMP	A thick, ill-shapen piece	definition	4
DUNG	The excrement of an animal	definition	56
DUSK	Tending to darkness or blackness	definition	11
DYAD	Two units treated as one	definition	3
DYNE	The unit of force, in the C	proper	3
EARL	A nobleman of England ranking below a marquis, and above a viscount	proper	53
ECHO	A sound reflected from an opposing surface and repeated to the ear of a listener	definition	25
EDEN	The garden where Adam and Eve first dwelt	proper	18
EDGE	The thin cutting side of the blade of an instrument	definition	366
EDGY	Easily irritated	definition	1
EDIT	To superintend the publication of	definition	3
EERY	Serving to inspire fear, esp	definition	2
ELMY	Abounding with elms	definition	1
EMIR	An Arabian military commander, independent chieftain, or ruler of a province	proper	6
EPIC	Narrated in a grand style	definition	32
ERIN	An early, and now a poetic, name of Ireland	proper	3
ESOX	A genus of fresh-water fishes, including pike and pickerel	definition	4
EVIL	Having qualities tending to injury and mischief	definition	486
EWER	A kind of widemouthed pitcher or jug	crosswordese	4
EXON	A native or inhabitant of Exeter, in England	proper	1
EYOT	A little island in a river or lake	proper	3
FACE	The exterior form or appearance of anything	definition	601
FAKE	One of the circles or windings of a cable or hawser, as it lies in a coil	definition	2
FALL	To Descend, either suddenly or gradually	proper	464
FAME	Public report or rumor	definition	119
FAST	To abstain from food	definition	238
FATE	A fixed decree by which the order of things is prescribed	definition	102
FAUN	A god of fields and shipherds, diddering little from the satyr	definition	4
FEED	To give food to	definition	209
FIAR	One in whom the property of an estate is vested, subject to the estate of a life renter	definition	1
FIAT	An authoritative command or order to do something	definition	11
FIEF	An estate held of a superior on condition of military service	definition	12
FILL	One of the thills or shafts of a carriage	definition	225
FIND	To meet with, or light upon, accidentally	definition	295
FISH	A counter, used in various games	definition	829
FIVE	Four and one added	definition	475
FIZZ	To make a hissing sound, as a burning fuse	definition	1
FLAG	To hang loose without stiffness	definition	97
FLEE	To run away, as from danger or evil	definition	19
